# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = eibb_regression_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/bmfazio/git-repos/tesis-pucpstat/tesis-rsrc/endes_dump.R
# init = 2 (Default)
# random
#   seed = 3906157448
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bx.1,bx.2,bx.3,bx.4,bx.5,bx.6,bx.7,bz.1,bz.2,bz.3,bz.4,bz.5,bz.6,bz.7,rho,sigma
# Adaptation terminated
# Step size = 0.231854
# Diagonal elements of inverse mass matrix:
# 0.000334999, 0.000243471, 0.000384148, 0.000636853, 9.5037e-05, 6.08163e-05, 0.00015092, 0.000109505, 6.97973e-05, 0.000107839, 0.000185078, 3.26917e-05, 2.07949e-05, 4.1005e-05, 0.00455467, 6.93995e-05
-57223.4,0.845355,0.231854,4,15,0,57231.3,-0.838252,0.0748523,-0.0435262,-0.02786,0.00207255,-0.0382759,0.162504,0.354653,0.0822277,-0.0487469,-0.0352055,0.0114125,-0.0355266,0.137556,0.0450292,0.524839
-57223.7,0.986201,0.231854,4,15,0,57230,-0.851477,0.0848988,-0.054704,0.019664,-0.00195857,-0.04498,0.20028,0.354967,0.0959961,-0.0445269,-0.0390962,0.0291724,-0.0433442,0.131137,0.0462615,0.529068
-57224.6,0.941243,0.231854,4,31,0,57232.4,-0.869623,0.0992968,-0.0245101,0.00393835,-0.00492258,-0.0260761,0.184939,0.37231,0.0705742,-0.0705166,-0.069134,0.0216867,-0.0371349,0.125794,0.0427209,0.523837
-57229.6,0.847619,0.231854,4,15,0,57234.5,-0.879739,0.0986167,-0.0454107,-0.0210331,-0.0188545,-0.030767,0.181703,0.381871,0.0669173,-0.0598582,-0.0643604,0.0164262,-0.0364212,0.127525,0.0429274,0.520738
-57223,0.954238,0.231854,4,15,0,57237,-0.854818,0.095142,-0.0721953,-0.0256519,-0.00812332,-0.027585,0.179663,0.362919,0.0875712,-0.0636063,-0.0536067,0.0282449,-0.0388765,0.132528,0.0458,0.53014
-57223.2,0.846557,0.231854,4,15,0,57229.2,-0.859594,0.0942113,-0.065204,-0.0328288,-0.00638446,-0.0242207,0.183766,0.365281,0.082277,-0.0667837,-0.0562567,0.0222912,-0.0380197,0.129475,0.0456861,0.529468
-57223.2,0.931162,0.231854,4,15,0,57230.3,-0.835566,0.0752039,-0.0332288,-0.0069496,0.024478,-0.0562845,0.197754,0.364315,0.0791142,-0.0540339,-0.0546142,0.0254545,-0.0371267,0.127708,0.0462297,0.521335
-57222.2,0.879735,0.231854,4,15,0,57232.7,-0.841585,0.102149,-0.071036,-0.0152236,0.0131107,-0.0489968,0.18087,0.3771,0.0799314,-0.0687638,-0.0732066,0.0195063,-0.0375195,0.122278,0.0497285,0.51965
-57226.1,0.957357,0.231854,4,31,0,57231.5,-0.861702,0.100487,-0.0716841,0.0289128,0.0140494,-0.0537945,0.19593,0.37886,0.077469,-0.0663918,-0.0828031,0.0229497,-0.0365844,0.128071,0.0446997,0.525353
-57226.8,0.983957,0.231854,4,15,0,57232.1,-0.869486,0.0781677,-0.0053071,-0.0113561,0.000995765,-0.038763,0.186066,0.384692,0.0802594,-0.0777643,-0.0769174,0.025289,-0.0403111,0.117253,0.0438668,0.525748
